0,1,0,http://ja.wikipedia.org/wiki/犬島,(ヒント),岡山市にある島だよ。,犬島,直島,鬼ヶ島,女木島
0,1,0,http://sun-ste.com/okayama/,http://sun-ste.com/okayama/,岡山駅のショッピングセンターだよ。,さんすて,くまさん,ことさん,さんぽーろ
0,3,0,http://ja.wikipedia.org/wiki/えびめし,(ヒント),ソース味の焼き飯やピラフのような料理なんだ。おいしいよ！,えびめし,えびそば,えびせん,いせえび
0,1,0,http://ja.wikipedia.org/wiki/国道53号,(ヒント),岡山から鳥取まで続く国道だよ。,国道53号線,国道51号線,国道52号線,国道54号線
0,1,0,http://ja.wikipedia.org/wiki/金甲山,(ヒント),名前は、鬼退治に向かう時に、戦勝を祈願して金の甲を山中に埋めたという伝説からきているんだ。テレビの電波はここから出ていたりもするよ。,金甲山,銀甲山,銅甲山,鉄甲山
0,3,0,https://www.google.co.jp/search?q=調布+岡山,(ヒント),巻いた布をかたどったお菓子だよ。東京の方に、同じ地名のところがあるんだよねー。,調布,三鷹,布田,国領
0,1,0,http://okayama-kanko.net/ujo/index.html,(ヒント),岡山の街の中にあるお城だよ。太陽の光にてらされると、カラスの羽の色のように見えるから、うじょうってよばれているんだ。,烏城,燕城,白鷺城,鳩城
0,3,0,http://ja.wikipedia.org/wiki/ドミグラスソースカツ丼,(ヒント),デミグラスソースをかけたカツ丼だよ。おいしいよ！,デミカツ丼,みそカツ丼,ソースカツ丼,煮カツ丼
0,2,0,http://ja.wikipedia.org/wiki/土光敏夫,(ヒント),経団連という組織の会長を努めたことのある偉い人なんだ。でも、偉くても質素な生活をずっと続けていたんだって。,メザシの土光,タイの土光,イワシの土光,ヒラメの土光,サワラの土光
0,4,0,http://ja.wikipedia.org/wiki/岡山弁,(ヒント),「すごい」という意味の方言だよ。,ぼっけぇ,ほっけぇ,ぱっけぇ,ぱっはぇ
0,4,0,http://ja.wikipedia.org/wiki/うらじゃ,(ヒント),夏に踊るお祭りだよ。,うらじゃ,じぇじぇ,おらおら,おらじゃ,おもてじゃ
0,1,0,http://www.okayama-korakuen.jp/,(ヒント),日本三大名園なんだ。タンチョウもいるよ。,後楽園,甲子園,西武園,兼六園
